Date,stocktotal,stockgasoline,stockdistilled,pricegasoline,pricedistilled,consgasoline,consdistilled,gdp
"Jul 19, 1996",198977,160249,104280,53424,49728,57064,21896,8159
"Jul 26, 1996",197609,158462,102629,53046,49476,56469,22323,8159
"Aug 02, 1996",196821,157106,104053,52626,49728,57953,22022,8159
"Aug 09, 1996",198222,157908,103690,52416,50022,54054,22379,8159
"Aug 16, 1996",198433,158240,104848,52458,50652,54726,21588,8159
"Aug 23, 1996",196254,156826,105535,52626,51324,58548,22036,8159
"Aug 30, 1996",192908,154087,109025,52164,51702,58583,20860,8159
"Sep 06, 1996",191733,151723,111522,52374,52500,54901,21427,8159
"Sep 13, 1996",192000,153643,112289,52500,53592,52759,22547,8159
"Sep 20, 1996",193526,155955,111771,52542,53634,56000,24185,8159
"Sep 27, 1996",197717,159036,110974,52290,54138,53333,25361,8159
"Oct 04, 1996",197019,156719,112259,52038,54936,55545,22505,8287.1
"Oct 11, 1996",194410,155394,111374,52416,55692,53459,25263,8287.1
"Oct 18, 1996",190525,151590,111265,52458,55818,55706,25809,8287.1
"Oct 25, 1996",189283,150080,114978,52920,55818,55937,23114,8287.1
"Nov 01, 1996",191956,152342,114463,53256,55566,53774,25746,8287.1
"Nov 08, 1996",190180,151230,114146,53424,55272,54628,25592,8287.1
"Nov 15, 1996",188595,150309,113220,53844,55608,56511,25795,8287.1
"Nov 22, 1996",187261,150390,114490,54138,55734,55181,23261,8287.1
"Nov 29, 1996",190483,151567,118372,54054,55566,51590,21511,8287.1
"Dec 06, 1996",194748,156317,120753,54054,55440,53942,23072,8287.1
"Dec 13, 1996",191420,154356,120544,53886,54894,58485,24710,8287.1
"Dec 20, 1996",191053,152417,119024,53676,54600,56357,25137,8287.1
"Dec 27, 1996",192014,153479,123135,53508,54390,54180,20076,8287.1
"Jan 03, 1997",198239,157777,126155,53424,54222,49854,22134,8402.1
"Jan 10, 1997",199994,158237,125807,54054,54432,52080,23394,8402.1
"Jan 17, 1997",201457,158935,121001,54054,54306,51856,26096,8402.1
"Jan 24, 1997",203639,160557,118478,53928,53886,50855,24143,8402.1
"Jan 31, 1997",206951,162575,114237,53844,54096,49875,27195,8402.1
"Feb 07, 1997",210991,164170,109425,53760,53970,49091,25921,8402.1
"Feb 14, 1997",209302,163800,105766,53466,53676,52710,24850,8402.1
"Feb 21, 1997",205464,159978,105280,53340,53298,56077,22596,8402.1
